timestamp,event,page,props_json
2026-02-16T10:04:10.780756+00:00,artwork_view,Explorer,"{""object_id"": ""SK-A-4273"", ""artist"": ""Frans Jansz Post"", ""source"": ""selection_checkbox""}"
2026-02-16T10:12:09.398198+00:00,search_executed,Explorer,"{""query_sample"": ""Steen"", ""query_length"": 5, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 30, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 30, ""filtered_count"": 25}"
2026-02-16T10:12:23.206206+00:00,selection_add_item,Explorer,"{""object_id"": ""SK-A-1932"", ""artist"": ""Jan Havicksz. Steen"", ""source"": ""Explorer""}"
2026-02-16T10:12:23.207523+00:00,artwork_view,Explorer,"{""object_id"": ""SK-A-1932"", ""artist"": ""Jan Havicksz. Steen"", ""source"": ""selection_checkbox""}"
2026-02-16T10:12:24.697294+00:00,selection_add_item,Explorer,"{""object_id"": ""SK-A-384"", ""artist"": ""Jan Havicksz. Steen"", ""source"": ""Explorer""}"
2026-02-16T10:12:24.697876+00:00,artwork_view,Explorer,"{""object_id"": ""SK-A-384"", ""artist"": ""Jan Havicksz. Steen"", ""source"": ""selection_checkbox""}"
2026-02-16T10:12:25.946516+00:00,selection_add_item,Explorer,"{""object_id"": ""SK-A-3509"", ""artist"": ""Jan Havicksz. Steen"", ""source"": ""Explorer""}"
2026-02-16T10:12:25.947507+00:00,artwork_view,Explorer,"{""object_id"": ""SK-A-3509"", ""artist"": ""Jan Havicksz. Steen"", ""source"": ""selection_checkbox""}"
2026-02-16T10:12:30.393306+00:00,selection_add_item,Explorer,"{""object_id"": ""SK-A-2572"", ""artist"": ""Jan Havicksz. Steen"", ""source"": ""Explorer""}"
2026-02-16T10:12:30.393820+00:00,artwork_view,Explorer,"{""object_id"": ""SK-A-2572"", ""artist"": ""Jan Havicksz. Steen"", ""source"": ""selection_checkbox""}"
2026-02-16T10:12:31.949031+00:00,selection_add_item,Explorer,"{""object_id"": ""SK-A-388"", ""artist"": ""Jan Havicksz. Steen"", ""source"": ""Explorer""}"
2026-02-16T10:12:31.949616+00:00,artwork_view,Explorer,"{""object_id"": ""SK-A-388"", ""artist"": ""Jan Havicksz. Steen"", ""source"": ""selection_checkbox""}"
2026-02-16T10:12:41.619420+00:00,selection_add_item,Explorer,"{""object_id"": ""SK-A-391"", ""artist"": ""Jan Havicksz. Steen"", ""source"": ""Explorer""}"
2026-02-16T10:12:41.620693+00:00,artwork_view,Explorer,"{""object_id"": ""SK-A-391"", ""artist"": ""Jan Havicksz. Steen"", ""source"": ""selection_checkbox""}"
