timestamp,event,page,props_json
2026-02-16T15:43:16.708139+00:00,search_executed,Explorer,"{""query_sample"": ""Monet"", ""query_length"": 5, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 30, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 10, ""filtered_count"": 4}"
2026-02-16T15:43:27.996551+00:00,selection_add_item,Explorer,"{""object_id"": ""SK-A-2933"", ""artist"": ""Claude Monet"", ""source"": ""Explorer""}"
2026-02-16T15:43:27.997247+00:00,artwork_view,Explorer,"{""object_id"": ""SK-A-2933"", ""artist"": ""Claude Monet"", ""source"": ""selection_checkbox""}"
2026-02-16T15:44:39.555488+00:00,search_executed,Explorer,"{""query_sample"": ""raphael"", ""query_length"": 7, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 30, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 30, ""filtered_count"": 23}"
2026-02-16T15:45:51.159611+00:00,search_executed,Explorer,"{""query_sample"": ""Buonarroti"", ""query_length"": 10, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 30, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 23, ""filtered_count"": 9}"
2026-02-16T15:48:08.248287+00:00,search_executed,Explorer,"{""query_sample"": ""Vermeer"", ""query_length"": 7, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 30, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 30, ""filtered_count"": 12}"
2026-02-16T15:48:27.658329+00:00,selection_add_item,Explorer,"{""object_id"": ""SK-A-2351"", ""artist"": ""Jan Vermeer van Haarlem (I)"", ""source"": ""Explorer""}"
2026-02-16T15:48:27.658954+00:00,artwork_view,Explorer,"{""object_id"": ""SK-A-2351"", ""artist"": ""Jan Vermeer van Haarlem (I)"", ""source"": ""selection_checkbox""}"
2026-02-16T15:48:45.777090+00:00,search_executed,Explorer,"{""query_sample"": ""Ven gogh"", ""query_length"": 8, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 30, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 0, ""filtered_count"": 0}"
2026-02-16T15:49:54.187370+00:00,search_executed,Explorer,"{""query_sample"": ""Vincent van Gogh"", ""query_length"": 16, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 30, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 30, ""filtered_count"": 11}"
2026-02-16T15:50:10.303564+00:00,selection_add_item,Explorer,"{""object_id"": ""SK-C-1845"", ""artist"": ""Vincent van Gogh, Arles"", ""source"": ""Explorer""}"
2026-02-16T15:50:10.304445+00:00,artwork_view,Explorer,"{""object_id"": ""SK-C-1845"", ""artist"": ""Vincent van Gogh, Arles"", ""source"": ""selection_checkbox""}"
2026-02-16T15:50:12.241036+00:00,selection_add_item,Explorer,"{""object_id"": ""SK-C-1844"", ""artist"": ""Vincent van Gogh, Paris"", ""source"": ""Explorer""}"
2026-02-16T15:50:12.241956+00:00,artwork_view,Explorer,"{""object_id"": ""SK-C-1844"", ""artist"": ""Vincent van Gogh, Paris"", ""source"": ""selection_checkbox""}"
2026-02-16T15:51:25.044869+00:00,search_executed,Explorer,"{""query_sample"": ""Ruisdael"", ""query_length"": 8, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 30, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 30, ""filtered_count"": 17}"
2026-02-16T15:51:34.015810+00:00,selection_add_item,Explorer,"{""object_id"": ""SK-C-212"", ""artist"": ""Jacob Isaacksz van Ruisdael"", ""source"": ""Explorer""}"
2026-02-16T15:51:34.016623+00:00,artwork_view,Explorer,"{""object_id"": ""SK-C-212"", ""artist"": ""Jacob Isaacksz van Ruisdael"", ""source"": ""selection_checkbox""}"
2026-02-16T15:51:36.231513+00:00,selection_add_item,Explorer,"{""object_id"": ""SK-C-562"", ""artist"": ""Jacob Isaacksz van Ruisdael"", ""source"": ""Explorer""}"
2026-02-16T15:51:36.232091+00:00,artwork_view,Explorer,"{""object_id"": ""SK-C-562"", ""artist"": ""Jacob Isaacksz van Ruisdael"", ""source"": ""selection_checkbox""}"
2026-02-16T15:53:08.678994+00:00,search_executed,Explorer,"{""query_sample"": ""Avercamp"", ""query_length"": 8, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 30, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 30, ""filtered_count"": 5}"
2026-02-16T15:53:40.794311+00:00,selection_add_item,Explorer,"{""object_id"": ""SK-A-1320"", ""artist"": ""Hendrick Avercamp (signed by artist)"", ""source"": ""Explorer""}"
2026-02-16T15:53:40.795802+00:00,artwork_view,Explorer,"{""object_id"": ""SK-A-1320"", ""artist"": ""Hendrick Avercamp (signed by artist)"", ""source"": ""selection_checkbox""}"
2026-02-16T15:53:41.968015+00:00,selection_add_item,Explorer,"{""object_id"": ""SK-A-1718"", ""artist"": ""Hendrick Avercamp (signed by artist)"", ""source"": ""Explorer""}"
2026-02-16T15:53:41.968583+00:00,artwork_view,Explorer,"{""object_id"": ""SK-A-1718"", ""artist"": ""Hendrick Avercamp (signed by artist)"", ""source"": ""selection_checkbox""}"
2026-02-16T15:55:44.714303+00:00,search_executed,Explorer,"{""query_sample"": ""Avercamp"", ""query_length"": 8, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 30, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": true, ""has_place_filter"": false, ""api_returned"": 30, ""filtered_count"": 0}"
2026-02-16T15:56:55.167334+00:00,search_executed,Explorer,"{""query_sample"": ""Avercamp"", ""query_length"": 8, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 30, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": true, ""has_place_filter"": false, ""api_returned"": 30, ""filtered_count"": 0}"
2026-02-16T15:57:31.425311+00:00,search_executed,Explorer,"{""query_sample"": ""Avercamp"", ""query_length"": 8, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 30, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 30, ""filtered_count"": 5}"
2026-02-16T16:00:19.887340+00:00,search_executed,Explorer,"{""query_sample"": ""van der Helst"", ""query_length"": 13, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 30, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 30, ""filtered_count"": 26}"
2026-02-16T16:00:26.671112+00:00,selection_add_item,Explorer,"{""object_id"": ""SK-A-140"", ""artist"": ""Bartholomeus van der Helst"", ""source"": ""Explorer""}"
2026-02-16T16:00:26.671451+00:00,artwork_view,Explorer,"{""object_id"": ""SK-A-140"", ""artist"": ""Bartholomeus van der Helst"", ""source"": ""selection_checkbox""}"
2026-02-16T16:00:27.658685+00:00,selection_add_item,Explorer,"{""object_id"": ""SK-A-142"", ""artist"": ""Bartholomeus van der Helst"", ""source"": ""Explorer""}"
2026-02-16T16:00:27.659272+00:00,artwork_view,Explorer,"{""object_id"": ""SK-A-142"", ""artist"": ""Bartholomeus van der Helst"", ""source"": ""selection_checkbox""}"
2026-02-16T16:00:29.338300+00:00,selection_add_item,Explorer,"{""object_id"": ""SK-C-375"", ""artist"": ""Bartholomeus van der Helst"", ""source"": ""Explorer""}"
2026-02-16T16:00:29.339136+00:00,artwork_view,Explorer,"{""object_id"": ""SK-C-375"", ""artist"": ""Bartholomeus van der Helst"", ""source"": ""selection_checkbox""}"
2026-02-16T16:00:31.500363+00:00,selection_add_item,Explorer,"{""object_id"": ""SK-A-144"", ""artist"": ""Bartholomeus van der Helst"", ""source"": ""Explorer""}"
2026-02-16T16:00:31.500926+00:00,artwork_view,Explorer,"{""object_id"": ""SK-A-144"", ""artist"": ""Bartholomeus van der Helst"", ""source"": ""selection_checkbox""}"
2026-02-16T16:00:39.029240+00:00,selection_add_item,Explorer,"{""object_id"": ""SK-A-146"", ""artist"": ""Bartholomeus van der Helst"", ""source"": ""Explorer""}"
2026-02-16T16:00:39.030386+00:00,artwork_view,Explorer,"{""object_id"": ""SK-A-146"", ""artist"": ""Bartholomeus van der Helst"", ""source"": ""selection_checkbox""}"
2026-02-16T16:00:40.168927+00:00,selection_add_item,Explorer,"{""object_id"": ""SK-A-147"", ""artist"": ""Bartholomeus van der Helst"", ""source"": ""Explorer""}"
2026-02-16T16:00:40.169788+00:00,artwork_view,Explorer,"{""object_id"": ""SK-A-147"", ""artist"": ""Bartholomeus van der Helst"", ""source"": ""selection_checkbox""}"
2026-02-16T16:05:09.480889+00:00,pdf_meta_saved,PDF_Setup,"{""opening_text"": ""Aert van Nes (1626-1693), Vice Admiral\nBartholomeus van der Helst, 1668\n\nAert van Nes and his wife Geertruida van Dubbelde, by Bartholomeus van der Helst, 1668. (Background scenes painted by Ludolf Bakhuysen). High-ranking naval officers commanded considerable respect in the Republic. Here, Lieutenant-Admiral Van Nes (c. 1625-1693) and his wife show off their status. The couple had their portraits painted by one of the leading portrait artists of the day. Their clothes are obviously expensive, and Geertruida's jewellery is equally costly. She is pointing to her husband, whose position has brought them prosperity. In the background of the portrait, the ships anchored in the safety of the harbour illustrate her role; the battle in the background of Van Nes's portrait refers to his. He is holding a baton, signalling his naval rank. A servant (his hat submissively in his hand) is bringing a message."", ""include_cover"": true, ""include_opening_text"": true, ""include_notes"": true, ""include_summary"": true, ""include_about"": true}"
2026-02-16T16:05:42.268665+00:00,export_prepare,My_Selection,"{""format"": ""pdf"", ""count"": 38}"
2026-02-16T16:05:49.462552+00:00,export_download,My_Selection,"{""format"": ""pdf"", ""scope"": ""selection"", ""count"": 38}"
2026-02-16T17:25:07.205137+00:00,compare_clicked,Compare,"{""object_id_a"": ""SK-A-1932"", ""object_id_b"": ""SK-A-133""}"
2026-02-16T17:25:15.634066+00:00,pdf_meta_saved,PDF_Setup,"{""opening_text"": ""Aert van Nes (1626-1693), Vice Admiral\nBartholomeus van der Helst, 1668\n\nAert van Nes and his wife Geertruida van Dubbelde, by Bartholomeus van der Helst, 1668. (Background scenes painted by Ludolf Bakhuysen). High-ranking naval officers commanded considerable respect in the Republic. Here, Lieutenant-Admiral Van Nes (c. 1625-1693) and his wife show off their status. The couple had their portraits painted by one of the leading portrait artists of the day. Their clothes are obviously expensive, and Geertruida's jewellery is equally costly. She is pointing to her husband, whose position has brought them prosperity. In the background of the portrait, the ships anchored in the safety of the harbour illustrate her role; the battle in the background of Van Nes's portrait refers to his. He is holding a baton, signalling his naval rank. A servant (his hat submissively in his hand) is bringing a message."", ""include_cover"": true, ""include_opening_text"": true, ""include_notes"": true, ""include_summary"": true, ""include_about"": true}"
2026-02-16T17:25:43.874375+00:00,export_prepare,My_Selection,"{""format"": ""pdf"", ""count"": 38}"
2026-02-16T17:25:47.045190+00:00,export_download,My_Selection,"{""format"": ""pdf"", ""scope"": ""selection"", ""count"": 38}"
2026-02-16T17:32:24.206440+00:00,export_download,My_Selection,"{""format"": ""csv"", ""scope"": ""selection"", ""count"": 38}"
2026-02-16T17:34:10.918560+00:00,export_download,My_Selection,"{""format"": ""json_compact"", ""scope"": ""selection"", ""count"": 38}"
2026-02-16T17:48:40.380290+00:00,pdf_meta_saved,PDF_Setup,"{""opening_text"": ""Aert van Nes (1626-1693), Vice Admiral\nBartholomeus van der Helst, 1668\n\nAert van Nes and his wife Geertruida van Dubbelde, by Bartholomeus van der Helst, 1668. (Background scenes painted by Ludolf Bakhuysen). High-ranking naval officers commanded considerable respect in the Republic. Here, Lieutenant-Admiral Van Nes (c. 1625-1693) and his wife show off their status. The couple had their portraits painted by one of the leading portrait artists of the day. Their clothes are obviously expensive, and Geertruida's jewellery is equally costly. She is pointing to her husband, whose position has brought them prosperity. In the background of the portrait, the ships anchored in the safety of the harbour illustrate her role; the battle in the background of Van Nes's portrait refers to his. He is holding a baton, signalling his naval rank. A servant (his hat submissively in his hand) is bringing a message."", ""include_cover"": true, ""include_opening_text"": true, ""include_notes"": true, ""include_summary"": true, ""include_about"": true}"
2026-02-16T17:49:11.688180+00:00,export_prepare,My_Selection,"{""format"": ""pdf"", ""count"": 38}"
2026-02-16T17:50:01.205618+00:00,export_download,My_Selection,"{""format"": ""pdf"", ""scope"": ""selection"", ""count"": 38}"
2026-02-18T09:38:43.467237+00:00,page_view,Explorer,"{""has_favorites"": true, ""favorites_count"": 38}"
2026-02-18T09:40:34.784577+00:00,page_view,My_Selection,"{""has_favorites"": true, ""favorites_count"": 38}"
2026-02-18T09:41:50.217051+00:00,page_view,Statistics,{}
2026-02-18T11:15:40.037703+00:00,page_view,PDF_Setup,"{""has_existing_config"": true}"
2026-02-18T11:15:56.657219+00:00,compare_clicked,Compare,"{""object_id_a"": ""SK-A-133"", ""object_id_b"": ""SK-A-135""}"
2026-02-18T11:16:06.169861+00:00,compare_clicked,Compare,"{""object_id_a"": ""SK-A-1932"", ""object_id_b"": ""SK-C-185""}"
2026-02-18T12:29:13.260524+00:00,artwork_detail_opened,My_Selection,"{""object_id"": ""SK-A-135"", ""artist"": ""Frans Hals (signed by artist)"", ""title"": ""SK-A-135"", ""year"": 1628, ""has_notes"": false}"
2026-02-18T12:29:42.769270+00:00,artwork_detail_opened,My_Selection,"{""object_id"": ""SK-C-185"", ""artist"": ""Frans van Mieris (II)"", ""title"": ""De kruidenierster"", ""year"": 1715, ""has_notes"": false}"
2026-02-18T12:30:15.466266+00:00,artwork_detail_opened,My_Selection,"{""object_id"": ""SK-A-133"", ""artist"": ""Frans Hals"", ""title"": ""Huwelijksportret van Isaac Abrahamsz Massa (1586-1643) en Beatrix van der Laen (1592-1639), getrouwd te Haarlem op 25 april 1622"", ""year"": 1622, ""has_notes"": false}"
2026-02-18T12:30:21.683338+00:00,artwork_detail_opened,My_Selection,"{""object_id"": ""SK-A-1932"", ""artist"": ""Jan Havicksz. Steen"", ""title"": ""SK-A-1932"", ""year"": 1665, ""has_notes"": false}"
2026-02-18T12:36:10.473396+00:00,artwork_detail_opened,My_Selection,"{""object_id"": ""SK-A-391"", ""artist"": ""Jan Havicksz. Steen"", ""title"": ""Woman scouring metalware"", ""year"": 1650, ""has_notes"": false}"
2026-02-18T12:36:28.545241+00:00,compare_clicked,Compare,"{""object_id_a"": ""SK-A-1932"", ""object_id_b"": ""SK-C-185""}"
2026-02-18T12:37:21.077975+00:00,artwork_detail_opened,My_Selection,"{""object_id"": ""SK-A-1585"", ""artist"": ""Frans Jansz Post"", ""title"": ""Landscape in Dutch Brazil"", ""year"": 1665, ""has_notes"": false}"
2026-02-18T12:38:39.459526+00:00,artwork_detail_opened,My_Selection,"{""object_id"": ""SK-A-388"", ""artist"": ""Jan Havicksz. Steen"", ""title"": ""Peasant wedding"", ""year"": 1672, ""has_notes"": false}"
2026-02-19T07:50:15.237277+00:00,page_view,Explorer,"{""has_favorites"": true, ""favorites_count"": 38}"
2026-02-19T07:50:38.954370+00:00,page_view,My_Selection,"{""has_favorites"": true, ""favorites_count"": 38}"
2026-02-19T07:50:48.631780+00:00,page_view,PDF_Setup,"{""has_existing_config"": true}"
2026-02-19T07:51:09.106635+00:00,page_view,Statistics,{}
2026-02-19T13:17:49.086075+00:00,compare_clicked,Compare,"{""object_id_a"": ""SK-A-391"", ""object_id_b"": ""SK-C-185""}"
2026-02-19T13:17:58.214765+00:00,compare_clicked,Compare,"{""object_id_a"": ""SK-A-1932"", ""object_id_b"": ""SK-C-185""}"
2026-02-21T09:40:28.572370+00:00,compare_clicked,Compare,"{""object_id_a"": ""SK-A-1932"", ""object_id_b"": ""SK-C-185""}"
2026-02-25T09:57:58.601536+00:00,search_executed,Explorer,"{""query_sample"": ""Rembrandt"", ""query_length"": 9, ""object_type"": ""Any"", ""sort_by"": ""artist"", ""fetch_limit"": 30, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 30, ""filtered_count"": 13}"
2026-02-25T09:58:34.836363+00:00,search_executed,Explorer,"{""query_sample"": ""Rembrandt"", ""query_length"": 9, ""object_type"": ""Any"", ""sort_by"": ""artist"", ""fetch_limit"": 30, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": true, ""api_returned"": 30, ""filtered_count"": 0}"
2026-02-25T09:59:40.885556+00:00,search_executed,Explorer,"{""query_sample"": ""Goya"", ""query_length"": 4, ""object_type"": ""Any"", ""sort_by"": ""artist"", ""fetch_limit"": 30, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 30, ""filtered_count"": 29}"
2026-02-25T10:00:36.413577+00:00,search_executed,Explorer,"{""query_sample"": ""Goya"", ""query_length"": 4, ""object_type"": ""Any"", ""sort_by"": ""artist"", ""fetch_limit"": 30, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": true, ""has_place_filter"": false, ""api_returned"": 30, ""filtered_count"": 0}"
2026-02-25T10:00:59.969521+00:00,search_executed,Explorer,"{""query_sample"": ""Goya"", ""query_length"": 4, ""object_type"": ""Any"", ""sort_by"": ""artist"", ""fetch_limit"": 30, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 30, ""filtered_count"": 29}"
2026-02-25T10:02:05.810894+00:00,search_executed,Explorer,"{""query_sample"": ""Raphael"", ""query_length"": 7, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 30, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 30, ""filtered_count"": 23}"
2026-02-25T10:02:56.289222+00:00,selection_add_item,Explorer,"{""object_id"": ""RP-P-OB-36.568"", ""artist"": ""Unknown artist"", ""source"": ""Explorer""}"
2026-02-25T10:02:56.290273+00:00,artwork_view,Explorer,"{""object_id"": ""RP-P-OB-36.568"", ""artist"": ""Unknown artist"", ""source"": ""selection_checkbox""}"
2026-02-25T10:03:00.963678+00:00,selection_add_item,Explorer,"{""object_id"": ""RP-P-1969-214"", ""artist"": ""Unknown artist"", ""source"": ""Explorer""}"
2026-02-25T10:03:00.964205+00:00,artwork_view,Explorer,"{""object_id"": ""RP-P-1969-214"", ""artist"": ""Unknown artist"", ""source"": ""selection_checkbox""}"
2026-02-25T10:04:40.964568+00:00,search_executed,Explorer,"{""query_sample"": ""Van Gogh"", ""query_length"": 8, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 30, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 30, ""filtered_count"": 9}"
2026-02-25T10:04:53.422040+00:00,selection_add_item,Explorer,"{""object_id"": ""RP-P-OB-20.603"", ""artist"": ""Unknown artist"", ""source"": ""Explorer""}"
2026-02-25T10:04:53.422799+00:00,artwork_view,Explorer,"{""object_id"": ""RP-P-OB-20.603"", ""artist"": ""Unknown artist"", ""source"": ""selection_checkbox""}"
2026-02-25T10:05:46.096444+00:00,search_executed,Explorer,"{""query_sample"": ""Van Gogh"", ""query_length"": 8, ""object_type"": ""painting"", ""sort_by"": ""relevance"", ""fetch_limit"": 30, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 30, ""filtered_count"": 9}"
2026-02-25T10:07:00.537458+00:00,search_executed,Explorer,"{""query_sample"": ""Helst"", ""query_length"": 5, ""object_type"": ""painting"", ""sort_by"": ""relevance"", ""fetch_limit"": 30, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 30, ""filtered_count"": 26}"
2026-02-25T10:08:23.278087+00:00,search_executed,Explorer,"{""query_sample"": ""Avercamp"", ""query_length"": 8, ""object_type"": ""painting"", ""sort_by"": ""relevance"", ""fetch_limit"": 30, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 30, ""filtered_count"": 5}"
2026-02-25T10:09:58.376287+00:00,search_executed,Explorer,"{""query_sample"": ""Avercamp"", ""query_length"": 8, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 30, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 30, ""filtered_count"": 5}"
2026-02-25T10:10:31.125770+00:00,search_executed,Explorer,"{""query_sample"": ""Leyster"", ""query_length"": 7, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 30, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 6, ""filtered_count"": 3}"
2026-02-25T10:11:00.086756+00:00,selection_add_item,Explorer,"{""object_id"": ""SK-A-2326"", ""artist"": ""Judith Leyster (mentioned on object)"", ""source"": ""Explorer""}"
2026-02-25T10:11:00.087506+00:00,artwork_view,Explorer,"{""object_id"": ""SK-A-2326"", ""artist"": ""Judith Leyster (mentioned on object)"", ""source"": ""selection_checkbox""}"
2026-02-25T10:12:09.418247+00:00,search_executed,Explorer,"{""query_sample"": ""Claesz"", ""query_length"": 6, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 30, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 30, ""filtered_count"": 13}"
2026-02-25T10:14:08.142724+00:00,search_executed,Explorer,"{""query_sample"": ""Asselijn"", ""query_length"": 8, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 30, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 30, ""filtered_count"": 25}"
2026-02-25T10:14:20.129708+00:00,selection_add_item,Explorer,"{""object_id"": ""SK-A-5"", ""artist"": ""Jan Asselijn"", ""source"": ""Explorer""}"
2026-02-25T10:14:20.130325+00:00,artwork_view,Explorer,"{""object_id"": ""SK-A-5"", ""artist"": ""Jan Asselijn"", ""source"": ""selection_checkbox""}"
2026-02-25T10:14:22.843020+00:00,selection_add_item,Explorer,"{""object_id"": ""SK-A-4"", ""artist"": ""Jan Asselijn"", ""source"": ""Explorer""}"
2026-02-25T10:14:22.843482+00:00,artwork_view,Explorer,"{""object_id"": ""SK-A-4"", ""artist"": ""Jan Asselijn"", ""source"": ""selection_checkbox""}"
2026-02-25T10:14:23.876211+00:00,selection_add_item,Explorer,"{""object_id"": ""SK-A-2313"", ""artist"": ""Jan Asselijn"", ""source"": ""Explorer""}"
2026-02-25T10:14:23.876836+00:00,artwork_view,Explorer,"{""object_id"": ""SK-A-2313"", ""artist"": ""Jan Asselijn"", ""source"": ""selection_checkbox""}"
2026-02-25T10:14:26.508874+00:00,selection_add_item,Explorer,"{""object_id"": ""RP-P-OB-554"", ""artist"": ""Unknown artist"", ""source"": ""Explorer""}"
2026-02-25T10:14:26.509402+00:00,artwork_view,Explorer,"{""object_id"": ""RP-P-OB-554"", ""artist"": ""Unknown artist"", ""source"": ""selection_checkbox""}"
2026-02-25T10:14:28.463228+00:00,selection_add_item,Explorer,"{""object_id"": ""SK-A-5030"", ""artist"": ""Jan Asselijn, Amsterdam"", ""source"": ""Explorer""}"
2026-02-25T10:14:28.465204+00:00,artwork_view,Explorer,"{""object_id"": ""SK-A-5030"", ""artist"": ""Jan Asselijn, Amsterdam"", ""source"": ""selection_checkbox""}"
2026-02-25T10:14:39.492309+00:00,selection_remove_item,Explorer,"{""object_id"": ""RP-P-1987-205"", ""artist"": ""Unknown artist"", ""source"": ""Explorer""}"
2026-02-25T10:14:42.192281+00:00,selection_remove_item,Explorer,"{""object_id"": ""RP-P-1962-106"", ""artist"": ""Unknown artist"", ""source"": ""Explorer""}"
2026-02-25T10:14:43.461736+00:00,selection_remove_item,Explorer,"{""object_id"": ""RP-P-1940-474"", ""artist"": ""Unknown artist"", ""source"": ""Explorer""}"
2026-02-25T10:14:45.715299+00:00,selection_remove_item,Explorer,"{""object_id"": ""RP-P-OB-557"", ""artist"": ""Unknown artist"", ""source"": ""Explorer""}"
2026-02-25T10:14:46.733018+00:00,selection_remove_item,Explorer,"{""object_id"": ""RP-P-1961-1152"", ""artist"": ""Unknown artist"", ""source"": ""Explorer""}"
2026-02-25T10:14:48.049460+00:00,selection_remove_item,Explorer,"{""object_id"": ""RP-P-1961-1153"", ""artist"": ""Unknown artist"", ""source"": ""Explorer""}"
2026-02-25T10:15:08.925954+00:00,selection_add_item,Explorer,"{""object_id"": ""RP-P-1940-473"", ""artist"": ""Unknown artist"", ""source"": ""Explorer""}"
2026-02-25T10:15:08.926802+00:00,artwork_view,Explorer,"{""object_id"": ""RP-P-1940-473"", ""artist"": ""Unknown artist"", ""source"": ""selection_checkbox""}"
2026-02-25T10:15:18.940350+00:00,search_executed,Explorer,"{""query_sample"": ""Vemeer"", ""query_length"": 6, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 30, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 0, ""filtered_count"": 0}"
2026-02-25T10:16:16.620893+00:00,search_executed,Explorer,"{""query_sample"": ""Vemeer"", ""query_length"": 6, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 30, ""auth_scope"": ""Show all (including unknown)"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 0, ""filtered_count"": 0}"
2026-02-25T10:16:42.788563+00:00,search_executed,Explorer,"{""query_sample"": ""Vemeer"", ""query_length"": 6, ""object_type"": ""Any"", ""sort_by"": ""artist"", ""fetch_limit"": 30, ""auth_scope"": ""Show all (including unknown)"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 0, ""filtered_count"": 0}"
2026-02-25T10:17:40.863108+00:00,search_executed,Explorer,"{""query_sample"": ""Vermeer"", ""query_length"": 7, ""object_type"": ""Any"", ""sort_by"": ""artist"", ""fetch_limit"": 30, ""auth_scope"": ""Show all (including unknown)"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 30, ""filtered_count"": 16}"
